"study_id","study_tags","deduplication_status","citation_screening_status","fulltext_screening_status","data_extraction_screening_status","data_source_type","data_source_name","data_source_url","citation_title","citation_abstract","citation_authors","citation_journal_name","citation_journal_volume","citation_pub_year","citation_keywords","citation_exclude_reasons","fulltext_filename","fulltext_exclude_reasons"
4194511,"","not_duplicate","excluded","not_screened","not_started","database","","","Intervention required to reduce inappropriate prescribing of psychotropics in the elderly","Psychotropic agents are used widely in the elderly, particularly those resident in long-term care institutions. To minimise adverse effects, it is important to ensure that psychotropic agents are used appropriately.Criteria for the inappropriate use of psychotropics have been developed. Implicit criteria provide a comprehensive patient-specific clinical assessment of psychotropic drug use, while explicit criteria are lists useful for assessing drug use across a population. Using explicit criteria, it has been determined that psychotropic agents, most commonly amitriptyline, doxepin and benzodiazepines, are used inappropriately in up to one-quarter of elderly patients.In addition to publication of explicit criteria, interventions are required to optimise prescribing. One-to-one educational interventions, such as academic detailing, change prescribing behaviours more effectively than group education. Provision of written materials further increases the effectiveness of education. Drug utilisation review, either online or via consultant pharmacist input, also helps prevent inappropriate psychotropic drug use.","","","18",2002,"Inappropriate Prescribing -- Prevention and Control -- In Old Age	Prescriptions, Drug -- Evaluation	","NOT AMS intervention","",""
4194512,"","not_duplicate","excluded","not_screened","not_started","database","","","Acute otitis media","• Acute otitis media is a common self-limiting illness in children. 80% recover in around three days without antibiotics. Complications are rare. • Antibiotics should not be prescribed routinely for acute otitis media in children. They reduce pain to a small degree but this should be balanced against the riSK of causing adverse effects such as vomiting, diarrhoea or rashes. • Antibiotics may be beneficial in sub-groups of patients. For example, children: - under two years with bilateral infection or - with discharge from the ear or - who are systemically unwell (e.g. fever or vomiting) or - with recurrent infections. • A strategy of watchful waiting and use of delayed prescriptions may be appropriate for many. • Paracetamol and ibuprofen have been shown to reduce earache. • There is insufficient evidence to support the use of decongestants or antihistamines.","","","17",2006,"amoxicillin	antibiotic agent	antihistaminic agent	azithromycin	clarithromycin	decongestive agent	ery","NOT Long Term Care","",""
4194513,"","not_duplicate","excluded","not_screened","not_started","database","","","Perception of nursing staff about the implementation of electronic medical records: contributions of technology in hospital care","A survey, descriptive study conducted in a private hospital of Fortaleza (CE) from January to May 2008, in order to know the opinion of the nursing staff about the advantages and disadvantages of electronic prescription and the importance of the nursing records in electronic medical records for the quality in hospital's assistance. This study showed that the electronic medical record in general has advantages such as readability, organization, registration and fast information recall, easy access to previous prescriptions, easy archiving of medical records and facility for audit and medical accounts. On the other hand, it presented the repetition of prescriptions without appropriate evaluation, possibility of electronic failure and higher costs as main disadvantages. Nurses related that computer records facilitated their work, because the time spent with medical records is smaller, increasing the time for direct care to patients. It was concluded that the electronic record is a technological progress because it brings several contributions, among them increases safety for the prescription, making it legible and thus minimizing the risks of iatrogenic problems.","","","28",2009,"Electronic Health Records	Nurse Attitudes	Nursing Care	Nursing Staff, Hospital	Brazil	Descriptive Re","NOT Long Term Care","",""
4194514,"","not_duplicate","excluded","not_screened","not_started","database","","","ESCP International Workshop on Geriatrics, 2011","The proceedings contain 30 papers. The topics discussed include: inappropriate prescribing in Irish nursing home residents; what are the alternatives to the dextropropoxyphene-containing medicines (DEX-cm) in the elderly?; is there a real connection between bisphosphonate-use and bone fractures?; psychotropic medication use in a geriatric population; positive impact of a pharmacotherapeutic follow-up program on the health condition of a geriatric population. a new strategic approach; evaluation after one year of a new policy of quality improvement in antibiotic prescriptions in geriatric hospitals; multidisciplinary intervention to enhance medication safety in German nursing homes; potentially inappropriate drug prescribing for the elderly: a 2-month study in a general medicine department of a French general hospital; and cognitive function and use of anxiolytic, hypnotic or sedative medicines among persons aged 75 years and older: a longitudinal cohort study.","","","33",2011,"anxiolytic agent	hypnotic agent	sedative agent	dextropropoxyphene	bisphosphonic acid derivative	anti","Article type; NOT AMS intervention","",""
4194515,"","not_duplicate","excluded","not_screened","not_started","database","","","Nurse News","This section offers news briefs of interest to school nurses. The U.S. Food and Drug Administration ruled that unapproved prescription cough, cold and allergy products cannot be legally marketed in the U.S. without being evaluated for safety, effectiveness and quality. Birth rates among teens aged 15 to 19 years in the U.S. were found to be lowest in the Northeast and upper Midwest, and highest across the southern states. The National Vaccine Plan has been unveiled to guide future efforts.","","","28",2011,"School Health Nursing -- In Infancy and Childhood	Pregnancy in Adolescence	Pregnancy	Female	United S","Article type; NOT AMS intervention","",""
4194516,"","not_duplicate","excluded","not_screened","not_started","database","","","Prescribing and Research in Medicines Management (UK and Ireland) Conference 2012","The proceedings contain 19 papers. The topics discussed include: VTE - who gets prophylaxis on admission to hospital?; repairing careless seams: preventing the fall-out between hospital and intermediate care; evaluating the effectiveness of medicines reconciliation in a medical team based clinical pharmacy model where pharmacists attend post admission ward rounds; exploring the contributions of clinical pharmacists to medical post admission ward rounds; inappropriate prescribing in the elderly - an audit of elderly patients in long term care facilities; are the benefits of pharmacy-led medicines reconciliation greater for certain patient groups?; impact of an integrated medicines management outpatient service; lessons from a case report of a predictable and preventable medication error; the clinical significance of medicines reconciliation in children admitted to hospital; and NHS tayside prescribing cost-minimization initiatives 2010/11.","","","21",2012,"Ireland	United Kingdom	human	hospital	aged	pharmacist	ward	fallout	case report	outpatient care	medic","Article type","",""
4194517,"","not_duplicate","excluded","not_screened","not_started","database","","","AGS applauds new measures to reduce inappropriate use of antipsychotics","","","","20",2012,"atypical antipsychotic agent	article	dementia	drug efficacy	drug safety	human	inappropriate prescrib","NOT AMS intervention","",""
4194518,"","not_duplicate","excluded","not_screened","not_started","database","","","ESCP International Workshop. Improving Patient Care Through Collaborative Practice 2013","The proceedings contain 22 papers. The topics discussed include: interprofessional perceptions: pharmacy and nursing students in Qatar; interdisciplinary training in nursing homes; validity and reliability of a tool to measure communication effectiveness in hospital physician-pharmacist collaboration in order to enhance patient care; general practitioner: community pharmacist collaboration models: a systematic review; from hospital to home: how can the interdisciplinary team target a home visit; evaluation of inappropriate prescribing in geriatric psychiatry; identifying targets for improvement of antibiotic use in the community; perceptions of physicians and pharmacists on hospital physician-pharmacist collaboration: a qualitative insight; methods assessing the significance of a pharmacist intervention: literature review; and clinical pharmacist attending weekly oncology outpatient multidisciplinary team meetings.","","","35",2013,"antibiotic agent	patient care	human	workshop	pharmacist	hospital physician	systematic review (topic)","Article type; NOT AMS intervention","",""
4194519,"","not_duplicate","excluded","not_screened","not_started","database","","","Watch for Webinar on Hot Topic of Anti psychotics","","","","14",2013,"World Wide Web Applications	Antipsychotic Agents -- Therapeutic Use	Inappropriate Prescribing -- Edu","NOT AMS intervention","",""
4194520,"","not_duplicate","excluded","not_screened","not_started","database","","","Psychotropic drugs doubled for people in long-term settings","The article offers a news brief as of April 2013, on the unexplained increase in the administration of psychotropic drugs to geriatric patients admitted in long term care homes in Northern Ireland, that was revealed in a Queen's University Belfast study.","","","25",2013,"Nursing Home Patients -- Northern Ireland	Psychotropic Drugs -- Administration and Dosage	Inappropri","NOT AMS intervention","",""
